time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-05 00:00:00+00:00,6,3,,
2023-09-06 00:00:00+00:00,3,2,2.0,2.0
2023-09-07 00:00:00+00:00,3,2,13.0,2.0
2023-09-08 00:00:00+00:00,1,1,,
2023-09-09 00:00:00+00:00,2,2,,
2023-09-10 00:00:00+00:00,3,2,,
2023-09-11 00:00:00+00:00,2,2,,
2023-09-12 00:00:00+00:00,1,1,6.0,1.0
2023-09-13 00:00:00+00:00,5,2,,
2023-09-14 00:00:00+00:00,3,3,57.0,2.0
2023-09-15 00:00:00+00:00,4,2,15.0,1.0
2023-09-16 00:00:00+00:00,4,2,,
2023-09-17 00:00:00+00:00,14,3,78.0,1.0
2023-09-18 00:00:00+00:00,1,1,9.0,2.0
